,AdID,AdURL,AdText,HostedPage,Impressions,Currency,AdSpending,toxicity,identityAttack,insult,positivity
2473,678587736041392,https://www.facebook.com/ads/archive/render_ad/?id=678587736041392&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Andrew wants to see Nevadans thrive and knows firsthand how important a strong education system is to our success.,Andrew Diss,4999,USD,99,0,0,0,1
2475,184975392681848,https://www.facebook.com/ads/archive/render_ad/?id=184975392681848&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Lost health insurance because of the current crisis? Now more than ever you NEED to have coverage! We're here to help.,iWebQuotes,999,USD,99,0,0,0,0
2476,237594717469736,https://www.facebook.com/ads/archive/render_ad/?id=237594717469736&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Health insurance is more important now than ever before. Let us help you find a plan fits the changes in your life.,iWebQuotes,999,USD,99,0,0,0,0
2481,791986267992299,https://www.facebook.com/ads/archive/render_ad/?id=791986267992299&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"""Nobody has a problem, as far as I see, to push the clean energy technologies,"" Birol said. ""But they want to be convinced that those policies accelerating clean energy transitions would also help economic recovery.""",Yale Climate Connections,999,USD,99,0,0,0,0
2492,689327751879241,https://www.facebook.com/ads/archive/render_ad/?id=689327751879241&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"A campaign representing the diversity that makes up our great district. To learn more about my platform and what we stand for, visit www.NapoleonFor154.com.",Napoleon for 154,1999,USD,99,0,0,0,1
2493,588094005150373,https://www.facebook.com/ads/archive/render_ad/?id=588094005150373&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"On Wednesday, May 6, 2020, Education Secretary Betsy DeVos announced a set of much-anticipated changes to Title IX. The federal law prohibits discrimination based on gender and requires educational institutes receiving federal funds to investigate complaints of sexual harassment that occurred on their campuses. The law has been criticized for treating those accused of sexual assault unfairly. Visit our blog to learn more about the recent changes and how they may impact current and future Title IX investigations.

https://www.jlawgroup.com/blog/2020/may/changes-to-title-ix-add-greater-protections-for-/",Johnson Law Group,999,USD,99,0,0,1,1
2502,303202774006223,https://www.facebook.com/ads/archive/render_ad/?id=303202774006223&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"In our Declaration of Independence, the Founding Fathers declared that Americans “are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.”  Rights. Not “permissions.”  God-given rights.  Including your rights to free speech, peacefully assemble…and even WORSHIP.  Exercise your God given rights this Sunday!",Councilwoman Annie Black,999,USD,99,0,0,1,0
2505,2930892026979150,https://www.facebook.com/ads/archive/render_ad/?id=2930892026979150&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Some good news this week! Per PennFuture Governor Tom Wolf’s plan marks a significant step toward reaching our carbon pollution goals by saving 180 million tons of carbon pollution.,New Energy Now PA,999,USD,99,0,0,0,0
2506,3780838365320906,https://www.facebook.com/ads/archive/render_ad/?id=3780838365320906&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Put Sani Wizard throughout your home, office, or on-the-go! It's simple to install, plus It's a friendly reminder to stay clean wherever you are!",HydroClean,999,USD,99,0,0,0,1
2507,1612633878901661,https://www.facebook.com/ads/archive/render_ad/?id=1612633878901661&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"After a long day at the Capitol, the House & Senate have passed a historic, bipartisan $300 million small business relief bill for businesses impacted by COVID-19. The program will provide aid to Mississippi businesses in the following ways:

Phase 1: $60 million
▶️ All businesses with less than 50 employees who filed Mississippi state income taxes in 2018, 2019, or eligible businesses who intend to file for 2020, and who were subject to any COVID-19 related state, municipal, and/or county required business closure or voluntary closure will receive a $2,000 relief check- no application required. Businesses covered in this phase include clothing stores, dance studios, barber shops, salons, restaurants, etc- any business forced to close by state or local government.

Phase 2: $240 million
▶️ All businesses with less than 50 employees who filed Mississippi state income taxes in 2018, 2019, or eligible businesses who intend to file for 2020, and suffered any interruption in businesses due to COVID-19 may apply to receive up to $25,000 in grants to cover payroll, rent, utilities, mortgage interest payments and other eligible expenses incurred during the the COVID-19 outbreak. Approved applicants under this program will receive a base payment of $1,500 and can either (1) receive an additional $500 per full-time equivalent employee OR (2) itemize eligible expenses on the application form. 

A few notes on Phase 2
•Businesses who receive checks under Phase 1 WILL be able to apply for Phase 2 relief without restriction. 
•Businesses who DID NOT receive federal PPP funds will receive priority for the first 21 days of the program. After that period, businesses who received PPP funds will be allowed to apply, with a portion of their state aid offset based on the amount of the PPP loan.
•For the first 60 days of the Phase 2 program, $40 million will be reserved for minority-owned businesses. 
•Grants awarded will not be subject to tax. 

Phase 1 payments will be administered by DFA, and work has already begun to get payments sent to eligible business owners without delay. MDA will be responsible for developing the application process and administering grants in Phase 2. I will continue to provide updates regarding the application for Phase 2. 

Without question, the legislation we passed today is the most consequential of my short career in the legislature. Small businesses are the lifeblood of our economy, and their health will be essential during the long recovery ahead. A link with further program specifics can be found in the comments, but please do not hesitant to ask any questions or let me know if I can be of assistance.",Rep. Kent McCarty,999,USD,99,1,0,1,0
2508,2691987307757588,https://www.facebook.com/ads/archive/render_ad/?id=2691987307757588&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Born and raised in Idaho, Ali has spent her career serving others. Vote for her by mail and consider volunteering or donating to her campaign! Don't forget to request your absentee ballot at idahovotes.gov.",Ali Rabe for Idaho State Senator District 17,999,USD,99,0,0,0,0
2510,864604687370018,https://www.facebook.com/ads/archive/render_ad/?id=864604687370018&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"They reject science, empiricism, reason, & respect.
They worship individual rights & reject collective responsibility.
They demand business growth over public health & saving life.
They shut down government with militant death threats & guns!
Why is this allowed? Because they're WHITE!!  
We must stop this militant white supremacy terrorism which threatens to take down everything and restore dignity and decency to our broken racist society.",Rabbi Dr. Shmuly Yanklowitz,14999,USD,199,0,0,0,1
2511,2689225108001568,https://www.facebook.com/ads/archive/render_ad/?id=2689225108001568&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"This is the year we will make history in WA state! I’ve officially registered for the primary ballot as the only candidate who has supported President Donald J. Trump since the 2016 caucuses. 

With the new Republican Party, we can fight the establishment, drain the swamp in Olympia, and Bring prosperity back to Washington l.

#Anton2020 #Election2020 

Join the movement!

https://secure.winred.com/anton-sakharov-for-governor/realwashington",Anton Sakharov for Governor GOP,2999,USD,99,0,0,0,1
2513,2503548739745871,https://www.facebook.com/ads/archive/render_ad/?id=2503548739745871&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Right before the pandemic hit, Nyack RNs won a major victory - including wage increases, staffing guidelines, and retiree health care. Now more than ever, it's important for nurses to stick together and fight for our rights as well as our patients.",New York State Nurses Association,999,USD,99,0,0,0,1
2514,494945104578208,https://www.facebook.com/ads/archive/render_ad/?id=494945104578208&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"While you are home, take the Census!",Franklin County Board of Commissioners,999,USD,99,0,0,0,0
2515,2266553246980935,https://www.facebook.com/ads/archive/render_ad/?id=2266553246980935&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"🌙The Last 10 nights are here! 🌙
Do you remember the lowest point in your life? When you were down and helpless, after losing everything? Have you ever wished that someone would just come along and help you get back up?

Meet Beran. This is his story. From homeless to self sufficient, and how by the will of Allah, Ma’ruf helped him get there.

✅ Remember, The Messenger of Allah (pbuh) said, "".....Whoever helps ease one in difficulty, Allah will make it easy for him in this world and in the Hereafter....."" -Sahih Muslim

It's still not too late to share in on the blessed act of helping our brothers and sisters!

👉Make this RAMADAN count, Support Ma'ruf and make a local impact with your Zakat!

https://marufdallas.com/donate/",Ma'ruf Dallas,999,USD,99,0,0,1,1
2516,236244481140767,https://www.facebook.com/ads/archive/render_ad/?id=236244481140767&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"I've lived and worked in the Great Memorial Drive Corridor and represented DeKalb County at the Capitol for 30 years. 

During these challenging times, our community needs a resourceful and experienced leader who has the legislative knowledge to help DeKalb. I have experience and know how to address budget concerns, economic development, and healthcare. Our community deserves a trusted voice and leader at the Capitol. 

The Georgia primary is June 9th, and I hope you'll consider voting for me for re-election.",Rep Michele Henson,999,USD,99,1,0,1,0
2517,1527285634112939,https://www.facebook.com/ads/archive/render_ad/?id=1527285634112939&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"New Retirement Guide: Want to be ready for the 2020 Social Security changes? Our new ""Cheat Sheet"" summarizes the most important updates in a step-by-step PDF guide.

🔥Want a FREE Copy? Get it Here:
www.retirementyou.com/AZ-SS-Cheat-Sheet

--
Topics Included in the 2020 Guide:

☑️How to Calculate Social Security Benefits
☑️Cost of Living Adjustment Amounts (COLA)
☑️Bipartisan Budget Act Summary & Changes
☑️Qualifying Quarters of Coverage (QC)
☑️New Maximum Taxable Earnings Limits
☑️Social Security Work Penalty & Filing Rules

*There is no cost or obligation required to get a copy of the guide, simply click the video or link below to view and download immediately... no strings attached!

🔥Want a FREE Copy? Get it Here:
www.retirementyou.com/AZ-SS-Cheat-Sheet",Retirement You Workshops,1999,USD,99,0,0,0,1
2519,526982154616901,https://www.facebook.com/ads/archive/render_ad/?id=526982154616901&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"New Retirement Guide: Want to be ready for the 2020 Social Security changes? Our new ""Cheat Sheet"" summarizes the most important updates in a step-by-step PDF guide.

🔥Want a FREE Copy? Get it Here:
www.retirementyou.com/AZ-SS-Cheat-Sheet

--
*There is no cost or obligation required to get a copy of the guide, simply click the video or link below to view and download immediately... no strings attached!",Retirement You Workshops,1999,USD,99,0,0,0,0
2520,2497625247216263,https://www.facebook.com/ads/archive/render_ad/?id=2497625247216263&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"It’s great to be able to sit down inside a restaurant again! Tina and I are enjoying Big Time Diner, which is one of our favorite local businesses. I’ve definitely missed their chocolate malts.",Jerry Carl For Congress,14999,USD,99,0,0,0,1
2522,563830154545588,https://www.facebook.com/ads/archive/render_ad/?id=563830154545588&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Your state rep, Jessica Miranda, is standing with health officials for the safety of your family and our state. We need leaders who will stand for public health. Learn more about how House Democrats are working for you during the Coronavirus outbreak.",Ohio House Democrats,999,USD,99,0,0,0,1
2523,2622145098039289,https://www.facebook.com/ads/archive/render_ad/?id=2622145098039289&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"BREAKING - Two unions representing county workers — RNPA Union and SEIU Local 521 — together filed an unfair labor practice charge with the California State Public Employment Relations Board.

Frontline workers remain very concerned that the County's plans to reopen include all necessary precautions to protect its workers and the public served. County facilities from clinics, to parks, to libraries, to jails, and offices are locations where tens of thousands of individuals encounter one another and with employees. It is imperative that frontline workers be at the table when plans to reopen are developed. 

“RNPA is extremely concerned at the County’s reluctance to work with the two unions who represent approximately 16,000 employees combined,” said Debbie Chang, Registered Nurse and President of RNPA. “Our registered nurses have been placed in very dangerous situations without adequate planning or PPE (Personal Protective Equipment) and little regard for their safety.""",SEIU Local 521,2999,USD,99,0,0,0,0
2524,229939755121815,https://www.facebook.com/ads/archive/render_ad/?id=229939755121815&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Jimmie T. Smith.  A Conservative Citrus County Can Count On!,Jimmie T. Smith,999,USD,99,0,0,0,0
2525,770498156814891,https://www.facebook.com/ads/archive/render_ad/?id=770498156814891&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"ACTION ALERT

We need your help to find as many waterway protectors as possible! We are giving away a $5.00 gift card to one lucky person who nominates a friend that not only loves our waterways, but also practices what they preach by cleaning up garbage and other pollutants. Comment and tag who you think is a great waterway protector!",Protect Wisconsin Waterways,999,USD,99,0,0,0,0
2527,3282150308464144,https://www.facebook.com/ads/archive/render_ad/?id=3282150308464144&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Nancy Pelosi and her Democrat buddies want to turn Georgia blue. Not on my watch! Help me keep Georgia TRUMP RED by chipping in now >>,Buddy Carter,999,USD,99,0,0,0,0
2529,813479359176605,https://www.facebook.com/ads/archive/render_ad/?id=813479359176605&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"La Doctora Alejandra Alvarez, medica de urgencias, comparte un mensaje importante: no deje de buscar atención medica si tiene una emergencia durante la pandemia de COVID-19. 
Dr. Alejandra Alvarez, emergency medicine physician, shares an important message: don’t delay seeking emergency care during the COVID-19 pandemic. .
.
#bostonmedicalcenter #covid19 #coronavirus #emergency #pandemia #emergencia",Boston Medical Center,3999,USD,99,0,0,1,0
2530,195889601409536,https://www.facebook.com/ads/archive/render_ad/?id=195889601409536&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Republican Primary, June 9th and we need volunteers.  This is a VERY Important Primary and we need to
get the VOTE out!!  Click the link below to sign up as a volunteer:

https://form.jotform.com/200624047665049",Republican for Horry County,2999,USD,99,0,0,0,1
2532,240016304098290,https://www.facebook.com/ads/archive/render_ad/?id=240016304098290&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Sarah Warren is proud to announce she has been endorsed by retired Senator Johnny Isakson. 

Said Isakson: “Justice Sarah Warren has proven herself exactly the type of judge Georgians want serving on our state Supreme Court.  She is smart, thoughtful, hardworking, and fair.  She’s a native Georgian whose decisions are based on the Constitutions of Georgia and the United States, not politics.  I look forward to voting for Justice Warren to keep her seat on the Georgia Supreme Court.”",Georgians for Justice Sarah Warren,999,USD,99,0,0,0,0
2534,281087359611647,https://www.facebook.com/ads/archive/render_ad/?id=281087359611647&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"This easy-to-use sanitizing system can be installed throughout your home or on-the-go! Plus, it comes with 2 lbs of our HydroClean Sanitizer!",HydroClean,999,USD,99,0,0,0,1
2535,684311935692752,https://www.facebook.com/ads/archive/render_ad/?id=684311935692752&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,COVID-19 testing across Florida continues to increase. Testing sites in FL-11 are listed below.,Congressman Daniel Webster,999,USD,99,0,0,0,0
2536,1108891252825267,https://www.facebook.com/ads/archive/render_ad/?id=1108891252825267&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,Ditch the toxic plastic wrap in favor of 🐝 Swoofe Beeswax Wraps to help keep your food fresh longer!,Swoofe,999,USD,99,0,0,0,0
2537,614320019172295,https://www.facebook.com/ads/archive/render_ad/?id=614320019172295&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Minnesota ER nurse Jen asks Trump to help nurses and doctors, rather than hinder them by spreading dangerous misinformation.

Trump is making this crisis worse.",Four Is Enough,14999,USD,199,0,0,0,0
2538,725166994957540,https://www.facebook.com/ads/archive/render_ad/?id=725166994957540&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"Minnesota ER nurse Jen shares how President Trump created the hunger games between the states, forcing them to compete for crucial medical supplies.

Trump is making this crisis worse.",Four Is Enough,2999,USD,99,0,0,0,0
2539,1498254780354861,https://www.facebook.com/ads/archive/render_ad/?id=1498254780354861&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"For nurses like Jen, the President’s dangerous misinformation on coronavirus has only made their jobs more difficult. 

Trump is making this crisis worse.",Four Is Enough,2999,USD,99,0,0,0,0
2543,270328444009402,https://www.facebook.com/ads/archive/render_ad/?id=270328444009402&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"""Harmony is the key to great music. It's also the key to Staying South Carolina Strong in the face of challenges like COVID-19."" - Darius Rucker

Watch the video for more information and learn how you can Stay South Carolina Strong at scdhec.gov/COVID19

#staySCstrong #SpreadCaringSC #StopCovidSC",SC DHEC,5999,USD,99,0,0,1,1
2545,253214069087823,https://www.facebook.com/ads/archive/render_ad/?id=253214069087823&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"🚨 🚨 FBI agents JUST served a warrant to North Carolina Senator Richard Burr as part of an investigation into illegal insider trading following a Senate briefing on the threat of COVID-19.  🚨 🚨

Let's make this very clear: Senator Burr had inside information, and he used it to profit off a global crisis. Burr has already stepped down as chairman of the Senate Intelligence Committee. Now it’s time that he steps down from the Senate. Will you add your name to our petition calling for Senator Richard Burr's immediate resignation?",Be A Hero,999,USD,99,1,0,1,1
2547,528171784535035,https://www.facebook.com/ads/archive/render_ad/?id=528171784535035&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"JUST RELEASED: Republican Senator Richard Burr is now under investigation by the FBI for using privileged information from a Senate briefing to profit off of this global pandemic. Burr sold between $628,000 and $1.7 million in stock instead of warning North Carolinians of the impending crisis. 
Insider trading is not just an abuse of power, it’s a federal crime. Senator Burr has already stepped down as chairman of the Senate Intelligence Committee. 

But that’s not enough: We’re demanding that he answer to his constituents and resign from the U.S. Senate. Sign our petition today to stand with us and call for Senator Richard Burr’s immediate resignation.",Be A Hero,1999,USD,99,0,0,1,1
2549,889218661581193,https://www.facebook.com/ads/archive/render_ad/?id=889218661581193&access_token=EAAQIiNlxAggBAGGAoP8ahml7no83pQJqQsq7FoaeTmsD3JZCu5AkVsECsRZByGU4D8DkYzZBAo2ZAlTR9q06uDgoLW2eVMV0F8XEnkgeReKT8IRReVW8q4KzfAfT3W0N6TsbZA9LdlNQ6Qtquab1ZBeQFZBKcSxNOUZD,"After being briefed on the COVID-19 threat, Senator Richard Burr sold between $628,000 and $1.7 million worth of stock. Now the FBI just issued a search warrant and seized his phone to investigate these stock purchases. 

Instead of warning the public about the thread of COVID-19, Burr decided to prioritize his personal wealth over the safety and health of Americans. We’re demanding that he answer to his constituents and resign from the U.S. Senate. Sign our petition today to call for Senator Richard Burr’s immediate resignation.",Be A Hero,999,USD,99,0,0,0,1
